root,collection,style,name,rel,thumb,hash
CommonContent,Architect,,Architect List,Titler3/CommonContent/broadcast/Library/Project Templates/Architect/Architect List.nbtitle,thumbs/Titler3/CommonContent/broadcast/Library/Project Templates/Architect/Architect List.png,567a00cf97b8e873f6dfc45a8f5d123b
CommonContent,Architect,,Architect Lower Image,Titler3/CommonContent/broadcast/Library/Project Templates/Architect/Architect Lower Image.nbtitle,thumbs/Titler3/CommonContent/broadcast/Library/Project Templates/Architect/Architect Lower Image.png,f1aff9375646c547f6f97eaf4980fdeb
CommonContent,Architect,,Architect Lower Third Single Line,Titler3/CommonContent/broadcast/Library/Project Templates/Architect/Architect Lower Third Single Line.nbtitle,thumbs/Titler3/CommonContent/broadcast/Library/Project Templates/Architect/Architect Lower Third Single Line.png,1630a5c13f1bcbfafc598c25144fcfb8
CommonContent,Architect,,Architect Lower Third,Titler3/CommonContent/broadcast/Library/Project Templates/Architect/Architect Lower Third.nbtitle,thumbs/Titler3/CommonContent/broadcast/Library/Project Templates/Architect/Architect Lower Third.png,d0bd0c4721ce26713e8aaac1576ea571
CommonContent,Architect,,Architect Main Title Full,Titler3/CommonContent/broadcast/Library/Project Templates/Architect/Architect Main Title Full.nbtitle,thumbs/Titler3/CommonContent/broadcast/Library/Project Templates/Architect/Architect Main Title Full.png,440d47bb2aa7496a443cb18d68a4c093
CommonContent,Architect,,Architect Main Title,Titler3/CommonContent/broadcast/Library/Project Templates/Architect/Architect Main Title.nbtitle,thumbs/Titler3/CommonContent/broadcast/Library/Project Templates/Architect/Architect Main Title.png,039b2c1130c890820baaba09c31c8111
CommonContent,Architect,,Architect Short List,Titler3/CommonContent/broadcast/Library/Project Templates/Architect/Architect Short List.nbtitle,thumbs/Titler3/CommonContent/broadcast/Library/Project Templates/Architect/Architect Short List.png,4e888d95b1e37a9dea6d2f0112346f7b
CommonContent,ChromaBeat,,ChromaBeat Four PiP,Titler3/CommonContent/broadcast/Library/Project Templates/ChromaBeat/ChromaBeat Four PiP.nbtitle,thumbs/Titler3/CommonContent/broadcast/Library/Project Templates/ChromaBeat/ChromaBeat Four PiP.png,a130cf202906b34b694fae6e16d7ab7b
CommonContent,ChromaBeat,,ChromaBeat Lower Third,Titler3/CommonContent/broadcast/Library/Project Templates/ChromaBeat/ChromaBeat Lower Third.nbtitle,thumbs/Titler3/CommonContent/broadcast/Library/Project Templates/ChromaBeat/ChromaBeat Lower Third.png,7219d5a1f60a23b00e203de3e244258f
CommonContent,ChromaBeat,,ChromaBeat Main,Titler3/CommonContent/broadcast/Library/Project Templates/ChromaBeat/ChromaBeat Main.nbtitle,thumbs/Titler3/CommonContent/broadcast/Library/Project Templates/ChromaBeat/ChromaBeat Main.png,0653f531aa87e47e340a1426b678d1f0
CommonContent,ChromaBeat,,ChromaBeat Poll 1,Titler3/CommonContent/broadcast/Library/Project Templates/ChromaBeat/ChromaBeat Poll 1.nbtitle,thumbs/Titler3/CommonContent/broadcast/Library/Project Templates/ChromaBeat/ChromaBeat Poll 1.png,4d634c1679e1019e485ebde44ea8da90
CommonContent,ChromaBeat,,ChromaBeat Poll 2,Titler3/CommonContent/broadcast/Library/Project Templates/ChromaBeat/ChromaBeat Poll 2.nbtitle,thumbs/Titler3/CommonContent/broadcast/Library/Project Templates/ChromaBeat/ChromaBeat Poll 2.png,9a6b56bb0adabcce2955486fc6356b3b
